index,name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax
5177,Jakob the Liar,-0.278146896,-0.471047245,0.620879471,1.875104204,-0.032357096,-0.048211471,-0.039073833,0.110142244,-0.035888452,-0.58525366,8.54E-06
5178,One Night Stand,-0.278146896,2.325789922,0.620879471,-0.310887725,-0.023566369,-0.047878115,-0.033833199,0.110124292,-0.0358885495,-0.58525976,8.54E-06
5179,Waterland,-0.278146896,2.325789922,-0.210621479,-0.194991932,-0.041460762,-0.048211471,-0.038502738,0.1100218,-0.0358891061,-0.585294589,8.53E-06
5180,Spellbinder,-0.278146896,2.325789922,0.620879471,-0.310887725,-0.036510644,-0.048211471,-0.039073833,0.109574333,-0.035891536,-0.585446644,8.50E-06
5181,Steel,-0.320349722,-0.471047245,0.620879471,-0.601860142,-0.042541822,-0.048211471,-0.036823048,0.10693575,-0.0359058646,-0.586343269,8.29E-06
5182,"Men, Women & Children",-0.2824206,2.325789922,0.620879471,-0.307188924,-0.031332934,-0.048211471,-0.016398014,0.10661925,-0.0359075834,-0.58645082,8.27E-06
5183,State of Grace,-0.320349722,2.325789922,-0.210621479,-0.114851224,-0.042115088,-0.048211471,-0.037293361,0.106196778,-0.0359098776,-0.586594382,8.24E-06
5184,Rampage,-0.278146896,2.325789922,0.620879471,-0.27513264,-0.03986762,-0.048211471,-0.035512889,0.1061824,-0.0359099557,-0.586599268,8.24E-06
5185,Silent Fall,-0.278146896,2.325789922,0.620879471,-0.320751197,-0.042541822,-0.025709928,-0.028088658,0.106022467,-0.0359108242,-0.586653615,8.22E-06
5186,Louder Than Bombs,-0.278146896,2.325789922,-0.456638962,-0.194991932,-0.042541822,-0.048211471,-0.039073833,0.105520364,-0.0359135508,-0.586824237,8.18E-06
5187,Hideous Kinky,-0.309665462,2.325789922,-0.210621479,-0.318285329,-0.038587417,-0.048211471,-0.039073833,0.10527325,-0.0359148927,-0.586908209,8.17E-06
