name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Body of Evidence,-0.278146896,2.325789922,-0.410868268,-0.328148801,-0.040408151,-0.046878046,-0.037360549,0.442453167,-0.0341388808,-0.473539737,3.43E-05,5
Swing Shift,-0.278146896,-0.418807081,0.620879471,-0.320751197,-0.035145094,-0.045461283,-0.028055065,0.443347067,-0.0341340248,-0.473236059,3.44E-05,5
Big Trouble in Little China,-0.320349722,-0.471047245,0.620879471,-0.161702715,-0.033495055,-0.042627755,-0.02916366,0.44402308,-0.0341303524,-0.473006402,3.44E-05,5
The Final Option,-0.320349722,2.325789922,-0.693120884,-0.245542225,-0.041603007,-0.045461283,-0.037965237,0.444478833,-0.0341278766,-0.472851572,3.45E-05,5
Event Horizon,3.623744767,2.325789922,-0.210621479,-0.307188924,-0.041603007,-0.045461283,-0.028861316,0.444563817,-0.0341274149,-0.472822701,3.45E-05,5
Bordello of Blood,-0.2824206,2.325789922,0.620879471,-0.360205084,-0.041603007,-0.045461283,-0.037965237,0.444695769,-0.0341266981,-0.472777874,3.45E-05,5
The East,-0.351868288,-0.471047245,-0.210621479,-0.155538045,-0.041603007,-0.034210511,-0.033430073,0.444894154,-0.0341256204,-0.472710478,3.45E-05,5
Tom and Jerry: The Movie,-0.263723145,-0.127165229,0.620879471,-0.360205084,-0.042029741,-0.045377944,-0.037931643,0.445058625,-0.0341247269,-0.472654604,3.45E-05,5
Michael Collins,-0.332102407,2.325789922,-0.210621479,-0.114851224,-0.035145094,-0.046044656,-0.035916015,0.44543212,-0.0341226979,-0.472527719,3.46E-05,5
The Ice Storm,-0.278146896,2.325789922,0.620879471,-0.031011714,-0.02220082,-0.045377944,-0.022814431,0.446558944,-0.0341165766,-0.472144911,3.46E-05,5
Straw Dogs,-0.320349722,2.325789922,0.620879471,-0.310887725,-0.029199262,-0.044627892,-0.037763674,0.44674848,-0.0341155469,-0.472080521,3.47E-05,5
The Cotton Club,-0.351868288,2.325789922,0.620879471,1.875104204,-0.040920232,-0.046127995,-0.033799605,0.447046914,-0.0341139257,-0.471979136,3.47E-05,5
Trapped,-0.320349722,2.325789922,0.620879471,-0.27513264,-0.032357096,-0.045377944,-0.036655079,0.4471472,-0.0341133809,-0.471945067,3.47E-05,5
Losing Isaiah,-0.278146896,2.325789922,0.620879471,-0.245542225,-0.031332934,-0.045377944,-0.038502738,0.447280353,-0.0341126576,-0.471899832,3.47E-05,5
Stormy Monday,-0.351868288,2.325789922,-0.210621479,-0.27513264,-0.0118454,-0.047878115,-0.033833199,0.447832,-0.0341096608,-0.471712425,3.47E-05,5
City of Hope,-0.351868288,2.325789922,0.620879471,-0.161702715,-0.041574558,-0.024459842,-0.030473819,0.448338333,-0.0341069102,-0.471540412,3.48E-05,5
Stop-Loss,-0.278146896,2.325789922,0.620879471,-0.245542225,-0.031332934,-0.045377944,-0.029298035,0.44851812,-0.0341059335,-0.471479334,3.48E-05,5
The Adventures of Elmo in Grouchland,-0.309665462,-0.127165229,0.620879471,-0.310887725,-0.040891783,-0.045377944,-0.037931643,0.449347962,-0.0341014254,-0.471197418,3.49E-05,5
The Pest,-0.2824206,-0.471047245,0.620879471,-0.212253008,-0.041574558,-0.045377944,-0.037931643,0.450077,-0.034097465,-0.470949747,3.49E-05,5
The Chamber,-0.351868288,2.325789922,0.620879471,-0.313353593,-0.031019995,-0.028960151,-0.032153509,0.45080718,-0.0340934984,-0.470701688,3.50E-05,5
What Maisie Knew,-0.278146896,2.325789922,0.620879471,-0.031011714,-0.028516487,-0.045377944,-0.033060542,0.4518965,-0.0340875807,-0.470331621,3.51E-05,5
The Glimmer Man,-0.320349722,2.325789922,0.620879471,-0.360205084,-0.035145094,-0.045377944,-0.037931643,0.452250311,-0.0340856587,-0.470211423,3.51E-05,5
