name,genre,rating,country,score,company,writer,director,hit rate
Carbon Copy,0.035737835,0.261430325,0.251513114,0.034390282,0.000123348,0.000473363,0.000203252,1.594432167
Modern Problems,0.035737835,0.261430325,0.251513114,0.044328758,0.000255229,0.000505848,0.000253677,3.269276375
Pennies from Heaven,0.036792826,1,0.251513114,0.31692696,0.000172997,2.94E-05,0.000323497,0.416876773
The Legend of the Lone Ranger,0.026374786,0.261430325,0.251513114,0.044328758,5.43E-05,0.000221212,5.43E-05,0.700991389
Sphinx,0.029012264,0.261430325,0.104909213,0.042120208,0.000183858,3.56E-05,1.01E-05,0.144483643
Zoot Suit,0.036792826,1,0.251513114,0.057106799,0.000322721,0.000739436,0.000370819,1.205956296
Buddy Buddy,0.035737835,1,0.251513114,0.31692696,5.66E-05,0.00021193,5.66E-05,0.7258543
Bustin' Loose,0.035737835,1,0.251513114,0.036283325,0.000322721,0.00043933,0.000220319,2.841933545
Heartbeeps,0.035737835,0.261430325,0.251513114,0.348477678,0.000322721,7.12E-05,2.79E-05,0.179558
Take This Job and Shove It,0.035737835,0.261430325,0.251513114,0.049850134,0.000213337,0.000776562,0.000389437,5.019722
Whose Life Is It Anyway?,0.035737835,1,0.251513114,0.056318031,0.000172997,9.75E-05,0.000217992,0.631241923
Inchon,0.036792826,0.261430325,0.131809011,0.015144345,8.53E-06,1.70E-05,8.53E-06,0.113064913
All Night Long,0.035737835,1,0.251513114,0.039438397,0.000322721,0.000259885,2.48E-05,0.318163929
The Pursuit of D.B. Cooper,0.029012264,0.261430325,0.251513114,0.034390282,4.65E-05,4.80E-05,0.00013576,0.308502333
Rollover,0.036792826,1,0.251513114,0.030919703,0.000426674,0.000105192,0.000262987,0.678203813
Honky Tonk Freeway,0.026374786,0.261430325,0.251513114,0.042120208,6.21E-05,1.24E-05,0.000100075,0.083530917
King of the Mountain,0.026374786,0.261430325,0.251513114,0.039438397,4.65E-05,0.000139224,6.98E-05,0.8955735
Fast Times at Ridgemont High,0.035737835,1,0.251513114,0.062312668,0.000322721,0.000437783,0.000700522,6.02064
Blade Runner,0.026374786,1,0.251513114,0.089761792,0.000256005,0.000249057,0.000166015,1.488459929
The Thing,1,1,0.251513114,0.089761792,0.000322721,0.000177898,0.000237386,1.308803533
Conan the Barbarian,0.026374786,1,0.251513114,0.088026503,0.000322721,0.000222759,0.00012102,3.44257375
E.T. the Extra-Terrestrial,0.266385336,0.261430325,0.251513114,0.120050481,0.000322721,0.003975626,0.000660182,75.51529086
First Blood,0.026374786,1,0.251513114,0.095756428,0.000647769,0.000937443,0.000220319,8.347526933
An Officer and a Gentleman,0.036792826,1,0.251513114,0.056949046,0.000256005,0.001427822,0.000231956,17.30607387
Grease 2,0.035737835,0.261430325,0.251513114,0.020823474,0.000314188,0.000228947,8.92E-05,1.149354242
Annie,0.035737835,0.261430325,0.251513114,0.052058684,0.00028626,0.000176351,5.82E-05,1.14127722
Poltergeist,1,0.261430325,0.251513114,0.056318031,0.000172997,0.001115341,0.000190064,7.209568972
48 Hrs.,0.026374786,1,0.251513114,0.088026503,0.000314188,0.001016337,0.000107832,6.572375667
Star Trek II: The Wrath of Khan,0.026374786,0.261430325,0.251513114,0.095756428,0.000314188,0.000527505,0.000267641,7.045800268
Sophie's Choice,0.036792826,1,0.104909213,0.093232371,0.000109384,0.000386734,0.000262987,2.503
Gandhi,0.023473559,0.261430325,0.104909213,0.107587948,0.000186185,0.000142318,7.14E-05,2.398540409
Tootsie,0.035737835,0.261430325,0.251513114,0.073039912,0.00028626,0.001305614,0.000290914,8.438095238
Tron,0.026374786,0.261430325,0.251513114,0.057106799,9.08E-05,0.000300106,0.0001505,1.941207353
The Secret of NIMH,0.040353422,0.339911001,0.251513114,0.093232371,0.000162912,0.000324857,0.000148172,2.095104714
The King of Comedy,0.035737835,0.261430325,0.251513114,0.120050481,3.10E-05,2.01E-05,0.000147397,0.1268121
Rocky III,0.036792826,0.261430325,0.251513114,0.057106799,0.000257556,0.000815235,0.000420468,7.356040353
The Beastmaster,0.026374786,0.261430325,0.251513114,0.041804701,0.000136536,0.000324857,0.000140415,1.757066
Creepshow,0.035737835,1,0.251513114,0.088026503,0.000157482,0.000467175,0.000128002,2.628594375
The Man from Snowy River,0.029012264,0.261430325,0.142568931,0.056318031,0.000457705,0.000912692,0.000227301,5.902692286
Pink Floyd: The Wall,0.036792826,1,0.104909213,0.107587948,0.000179979,0.00028773,8.07E-05,1.85548025
Cat People,0.020967955,1,0.251513114,0.041804701,7.68E-05,6.03E-05,7.76E-05,0.388888889
Fanny and Alexander,0.036792826,1,0.088769334,0.089761792,8.77E-05,0.000174804,8.77E-05,1.1326285
Friday the 13th Part III,1,1,0.251513114,0.051900931,0.000314188,0.00200483,0.000509682,15.95220304
Firefox,0.026374786,0.261430325,0.251513114,0.03691434,0.000200149,0.000205743,0.000264538,2.594904222
Halloween III: Season of the Witch,1,1,0.251513114,0.049850134,0.000145069,0.000638885,0.000238938,5.76
The Dark Crystal,0.029012264,0.261430325,0.104909213,0.062312668,0.000109384,0.000205743,0.000129554,2.775362067
The Verdict,0.036792826,1,0.251513114,0.095756428,0.000255229,0.000521318,8.53E-05,3.374608625
Pieces,1,0.223967148,0.149630128,0.036283325,0.000525197,0.001047276,0.000525197,6.77437
The World According to Garp,0.035737835,1,0.251513114,0.062312668,0.00013576,0.000272261,0.000119469,1.747774824
Diner,0.035737835,1,0.251513114,0.05978861,0.000172997,0.000233587,0.00021101,2.8199906
The Best Little Whorehouse in Texas,0.035737835,1,0.251513114,0.03691434,0.000322721,0.00030784,0.000477875,1.991475343
The Year of Living Dangerously,0.036792826,0.261430325,0.142568931,0.05978861,0.000172997,0.000122208,0.000295569,0.790659615
The Last Unicorn,0.040353422,0.339911001,0.104909213,0.073039912,0.000142742,0.000284636,0.000142742,1.84438
The Entity,0.036792826,1,0.251513114,0.037703108,0.000241265,0.000228947,6.36E-05,1.475284222
Airplane II: the Sequel,0.035737835,0.261430325,0.251513114,0.041804701,0.000314188,0.000228947,0.000140415,1.8100356
The Toy,0.035737835,0.261430325,0.251513114,0.037229847,0.00028626,0.00021193,0.000238938,2.771650412
The House on Sorority Row,1,1,0.251513114,0.03691434,0.00193555,0.003859606,0.000792063,24.95290824
Evil Under the Sun,0.018594224,0.261430325,0.104909213,0.05978861,6.21E-05,9.44E-05,4.73E-05,0.611067
Death Wish II,0.026374786,1,0.251513114,0.03691434,0.0001505,0.001245284,0.000195494,8.05
Silent Rage,0.026374786,1,0.251513114,0.039438397,0.00028626,0.000360436,0.000180755,2.331286889
Megaforce,0.026374786,0.261430325,0.086079354,0.021612242,0.000351425,4.33E-05,0.000147397,0.28377995
Personal Best,0.036792826,1,0.251513114,1,0.000301775,0.000165522,5.66E-05,0.354519438
Dead Men Don't Wear Plaid,0.035737835,0.261430325,0.251513114,0.088026503,5.28E-05,0.000312481,0.000121796,2.021796667
Amityville II: The Possession,1,1,1,0.039438397,0.000145069,0.000638885,0.000194719,2.5069634
Missing,0.023473559,0.261430325,0.251513114,0.095756428,0.000515888,0.0002274,0.00011016,1.473684211
Cannery Row,0.035737835,0.261430325,0.251513114,0.037703108,3.65E-05,7.27E-05,0.000145845,0.469162743
Tempest,0.035737835,0.261430325,0.251513114,0.31692696,0.00028626,0.000179445,0.00011559,0.385018846
Still of the Night,0.018594224,0.261430325,0.251513114,0.036283325,0.000269193,7.58E-05,5.90E-05,0.5979947
Parasite,1,1,0.251513114,0.017668402,0.000437535,0,0,0.0028375
Honkytonk Man,0.035737835,0.261430325,0.251513114,0.052058684,0.000256005,0.000346514,0.000264538,2.2424955
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",0.035737835,0.261430325,0.251513114,0.062312668,7.68E-05,0.000153147,9.77E-05,0.989362353
The Final Option,0.026374786,1,0.019838601,0.045590787,3.41E-05,6.81E-05,3.41E-05,0.444478833
Trail of the Pink Panther,0.035737835,0.261430325,0.104909213,0.049850134,0.000269193,0.000188726,8.84E-05,1.5093455
The Border,0.018594224,1,0.251513114,0.045590787,2.17E-05,4.33E-05,3.03E-05,0.278121955
Best Friends,0.035737835,0.261430325,0.251513114,0.039438397,0.000210234,0.00023204,0.000203252,2.454746867
Shoot the Moon,0.036792826,1,0.251513114,0.088026503,0.000172997,0.000106739,8.07E-05,0.7681275
Lookin' to Get Out,0.035737835,1,0.251513114,0.044328758,1.16E-05,9.28E-06,5.43E-06,0.055674176
Barbarosa,0.000791244,0.261430325,0.251513114,0.045590787,0.000109384,2.48E-05,6.98E-05,0.157829364
The Soldier,0.026374786,1,0.251513114,0.031392964,0.000122572,0.000177898,8.92E-05,1.582204
Wrong Is Right,0.035737835,1,0.251513114,0.051900931,0.00028626,5.57E-05,1.78E-05,0.3583513
Jekyll and Hyde... Together Again,0.01411051,1,0.251513114,0.041804701,0.000314188,0.000117567,4.42E-05,0.7584376
Forced Vengeance,0.026374786,1,0.251513114,0.034390282,0.000172997,0.000205743,0.000103178,1.3320666
Night Crossing,0.036792826,0.261430325,0.104909213,0.31692696,9.08E-05,0.000123755,6.21E-05,0.8
